"","Country","athletes","Gold","Silver","Bronze","Total","POP","GDP"
"1","Andorra",3,0,0,0,0,64142,18894.5215
"2","Argentina",2,0,0,0,0,36241590,8248.761989
"3","Armenia",7,0,0,0,0,3108684,609.1730254
"4","Australia",23,0,0,1,1,18711000,21365.98141
"5","Austria",96,3,5,9,17,7976789,27289.63071
"6","Azerbaijan",4,0,0,0,0,7913000,561.9103017
"7","Belarus",59,0,0,2,2,10069000,1511.770268
"8","Belgium",1,0,0,1,1,10203008,25541.71829
"9","Bermuda",1,0,0,0,0,60943,51371.74081
"10","Bosnia and Herzegovina",8,0,0,0,0,3750485,1097.644555
"11","Brazil",1,0,0,0,0,170170640,5075.631114
"12","Bulgaria",19,1,0,0,1,8256786,1771.993943
"13","Canada",144,6,5,4,15,30247900,20887.83947
"14","Chile",3,0,0,0,0,14887756,5479.498064
"15","China",55,0,6,2,8,1241935000,828.5804103
"16","Chinese Taipei",7,0,0,0,0,NA,NA
"17","Croatia",6,0,0,0,0,4501000,5650.332016
"18","Cyprus",1,0,0,0,0,908704,15247.29329
"19","Czech Republic",60,1,1,1,3,10294373,6447.463539
"20","Denmark",12,0,1,0,1,5304219,33368.15485
"21","Estonia",20,0,0,0,0,1386156,4052.292271
"22","Finland",85,2,4,6,12,5153498,25989.4075
"23","France",106,2,1,5,8,60186291,25101.36874
"24","Georgia",4,0,0,0,0,4487300,805.2726845
"25","Germany",125,12,9,8,29,82047195,27340.67288
"26","Great Britain",34,0,0,1,1,58487141,27759.33421
"27","Greece",13,0,0,0,0,10720509,13472.13764
"28","Hungary",17,0,0,0,0,10266570,4739.817329
"29","Iceland",7,0,0,0,0,274047,30901.04929
"30","India",1,0,0,0,0,1015974042,409.1943859
"31","Iran",1,0,0,0,0,63900630,1725.756278
"32","Ireland",6,0,0,0,0,3712696,24271.20838
"33","Israel",3,0,0,0,0,5971000,19400.1012
"34","Italy",112,2,6,2,10,56906744,22252.35771
"35","Jamaica",6,0,0,0,0,2611367,3338.596274
"36","Japan",156,5,1,4,10,126400000,31902.7671
"37","Kazakhstan",60,0,0,2,2,15071300,1468.701798
"38","Kenya",1,0,0,0,0,29769803,473.4327212
"39","Kyrgyzstan",1,0,0,0,0,4769000,345.1381316
"40","Latvia",29,0,0,0,0,2410019,2977.148772
"41","Liechtenstein",8,0,0,0,0,32355,76641.0552
"42","Lithuania",7,0,0,0,0,3549331,3166.895648
"43","Luxembourg",1,0,0,0,0,424700,47584.46439
"44","Macedonia",3,0,0,0,0,2012057,1774.822037
"45","Moldova",2,0,0,0,0,3652732,448.8413622
"46","Monaco",4,0,0,0,0,31523,93093.25854
"47","Mongolia",3,0,0,0,0,2355590,477.3497294
"48","Netherlands",22,5,4,2,11,15707209,27533.60679
"49","New Zealand",8,0,0,0,0,3815000,14738.44557
"50","North Korea",8,0,0,0,0,22537336,NA
"51","Norway",76,10,10,5,25,4431464,34788.77856
"52","Poland",39,0,0,0,0,38663481,4510.413117
"53","Portugal",2,0,0,0,0,10160196,12202.69141
"54","Puerto Rico",6,0,0,0,0,3781101,14304.40737
"55","Romania",16,0,0,0,0,22507344,1864.991387
"56","Russia",122,9,6,3,18,147670692,1834.846937
"57","Slovakia",37,0,0,0,0,5390516,5533.588845
"58","Slovenia",34,0,0,0,0,1981629,11165.27633
"59","South Africa",2,0,0,0,0,43584030,3161.120278
"60","South Korea",37,3,1,2,6,46286503,8085.323528
"61","Spain",12,0,0,0,0,40223509,15340.33211
"62","Sweden",99,0,2,1,3,8850974,30143.62746
"63","Switzerland",69,2,2,3,7,7110001,41487.69019
"64","Trinidad and Tobago",2,0,0,0,0,1262542,4786.92537
"65","Turkey",1,0,0,0,0,61329590,4496.503169
"66","Ukraine",56,0,1,0,1,50143939,835.2602988
"67","United States",186,6,3,4,13,275854000,32949.19776
"68","Uruguay",1,0,0,0,0,3292138,7711.07657
"69","Uzbekistan",4,0,0,0,0,24051000,623.2161328
"70","Venezuela",1,0,0,0,0,23569454,3874.981721
"71","Virgin Islands",7,0,0,0,0,108535,NA
"72","Yugoslavia",2,0,0,0,0,NA,NA
